,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,cross_subject
97,0.25461254612546125,0.24723247232472326,1.4706089496612549,les,500,80,1884,9,7,False,10.0,True
98,0.5340909090909091,0.3977272727272727,1.7704339027404785,les,500,80,1884,9,8,False,10.0,True
99,1.0,1.0,0.0,les,500,80,1884,9,9,False,10.0,True
100,1.0,1.0,0.0,les,500,80,929,1,1,False,10.0,True
101,0.6518518518518519,0.5222222222222223,1.7253119945526123,les,500,80,929,1,3,False,10.0,True
102,0.5535055350553506,0.5055350553505535,1.1478688716888428,les,500,80,929,1,7,False,10.0,True
103,0.5984848484848485,0.39015151515151514,1.6259982585906982,les,500,80,929,1,8,False,10.0,True
104,0.43037974683544306,0.26582278481012656,1.776968002319336,les,500,80,929,1,9,False,10.0,True
105,0.6776556776556777,0.3443223443223443,1.7749109268188477,les,500,80,929,3,1,False,10.0,True
106,1.0,1.0,0.0,les,500,80,929,3,3,False,10.0,True
107,0.6383763837638377,0.30996309963099633,1.7708842754364014,les,500,80,929,3,7,False,10.0,True
108,0.6893939393939394,0.4962121212121212,1.8023266792297363,les,500,80,929,3,8,False,10.0,True
109,0.459915611814346,0.2742616033755274,1.7775230407714844,les,500,80,929,3,9,False,10.0,True
110,0.5824175824175825,0.5201465201465202,1.7443907260894775,les,500,80,929,7,1,False,10.0,True
111,0.6444444444444445,0.5333333333333333,1.7794551849365234,les,500,80,929,7,3,False,10.0,True
112,1.0,1.0,0.0,les,500,80,929,7,7,False,10.0,True
113,0.4356060606060606,0.26136363636363635,1.7461199760437012,les,500,80,929,7,8,False,10.0,True
114,0.3924050632911392,0.26582278481012656,1.7483704090118408,les,500,80,929,7,9,False,10.0,True
115,0.5494505494505495,0.4981684981684982,1.786268711090088,les,500,80,929,8,1,False,10.0,True
116,0.6592592592592592,0.5777777777777777,2.319514513015747,les,500,80,929,8,3,False,10.0,True
117,0.34686346863468637,0.24354243542435425,1.4453184604644775,les,500,80,929,8,7,False,10.0,True
118,1.0,1.0,0.0,les,500,80,929,8,8,False,10.0,True
119,0.4936708860759494,0.39662447257383965,1.4541151523590088,les,500,80,929,8,9,False,10.0,True
120,0.45787545787545786,0.2673992673992674,1.438398838043213,les,500,80,929,9,1,False,10.0,True
121,0.4777777777777778,0.2851851851851852,1.4434192180633545,les,500,80,929,9,3,False,10.0,True
122,0.25461254612546125,0.24723247232472326,1.431095838546753,les,500,80,929,9,7,False,10.0,True
123,0.5340909090909091,0.3977272727272727,1.433936595916748,les,500,80,929,9,8,False,10.0,True
