,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,dataset,resample,epoch_tmin,epoch_tmax,cov_fs,cov_time_window,cross_subject,lr
65,1.0,1.0,0.0,spdsw,500,500,2473,6,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
66,0.62,0.66,2.4807236194610596,spdsw,500,500,2473,6,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
67,0.58,0.54,2.4495582580566406,spdsw,500,500,2473,6,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
68,0.61,0.525,2.4660067558288574,spdsw,500,500,2473,6,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
69,0.545,0.58,2.5732104778289795,spdsw,500,500,2473,6,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
70,0.435,0.52,2.477893114089966,spdsw,500,500,2473,6,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
71,0.495,0.495,2.4246113300323486,spdsw,500,500,2473,6,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
72,0.48,0.505,2.4760332107543945,spdsw,500,500,2473,7,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
73,0.58,0.58,2.442385196685791,spdsw,500,500,2473,7,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
74,0.585,0.535,2.6137750148773193,spdsw,500,500,2473,7,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
75,0.61,0.535,2.464855432510376,spdsw,500,500,2473,7,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
76,0.65,0.52,2.4665982723236084,spdsw,500,500,2473,7,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
77,0.515,0.55,2.6238954067230225,spdsw,500,500,2473,7,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
78,1.0,1.0,0.0,spdsw,500,500,2473,7,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
79,0.485,0.565,2.477069616317749,spdsw,500,500,2473,7,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
80,0.52,0.505,2.47873592376709,spdsw,500,500,2473,7,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
81,0.555,0.515,2.3015522956848145,spdsw,500,500,2473,7,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
82,0.545,0.5,2.2799859046936035,spdsw,500,500,2473,7,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
83,0.525,0.535,2.2722647190093994,spdsw,500,500,2473,7,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
84,0.705,0.5,2.2883832454681396,spdsw,500,500,2473,8,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
85,0.725,0.59,2.2570552825927734,spdsw,500,500,2473,8,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
